relative_path,category,role,use_status,evidence_boundary,bytes,sha256,source_path
2026_07_30_s41928-021-00671-0 (1)/Unintended_Carbon-Related_Impurity_and_Negative_Bias_Instability_in_High-Mobility_Oxide_TFTs.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,2557078,7715c05f784d17645f465af1f882e95ca3b0bf2ae4fa49497d468e6da2707fa5,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/Unintended_Carbon-Related_Impurity_and_Negative_Bias_Instability_in_High-Mobility_Oxide_TFTs.pdf
2026_07_30_s41928-021-00671-0 (1)/VisualTCAD_Inverter.pptx,method_reference,VisualTCAD二维硅CMOS反相器操作流程,reference_only,只参考建模、边界设置和报告截图顺序；不能当作氧化物TFT结果,2173350,31d4cd0ece12bdc7d860b3bd030fe3ec1ad646cb8554c52dd14f59067242e78e,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/VisualTCAD_Inverter.pptx
2026_07_30_s41928-021-00671-0 (1)/Yamazaki_2014_ECS_Trans._64_155.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,347469,0792abb0b34f68aa947543ef94811937c2d839c3d36202595c3c022a7ebb366e,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/Yamazaki_2014_ECS_Trans._64_155.pdf
2026_07_30_s41928-021-00671-0 (1)/genius_ug_en.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,2613187,ad65c450b274c1f6057d5c7f8c16a46a347e73180479095b93dd928913417181,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/genius_ug_en.pdf
2026_07_30_s41928-021-00671-0 (1)/p-Type_hboxCu_xhboxO_Films_Deposited_at_Room_Temperature_for_Thin-Film_Transistors.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,1243509,0c62f0c384f9108117977f0649b3742997f753b31d89f58f222afeeefc6091ba,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/p-Type_hboxCu_xhboxO_Films_Deposited_at_Room_Temperature_for_Thin-Film_Transistors.pdf
2026_07_30_s41928-021-00671-0 (1)/s11664-016-4816-7.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,2549842,85be20ac5011e23f4e53a2603c3e3d68ce43530ee9f62c9df6d30e3373e81a88,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/s11664-016-4816-7.pdf
2026_07_30_s41928-021-00671-0 (1)/s41586-021-03625-w.pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,4617064,d6c89f2dc7b0a24ef13360349f957870c620d8867da77f851bc0cb04c51c17c4,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/s41586-021-03625-w.pdf
2026_07_30_s41928-021-00671-0 (1)/s41928-021-00671-0 (1).pdf,literature,学长资料中的背景论文或软件手册,reference_only,引用前核对原论文题目、图号、条件和许可；不自动继承论文结论,1775046,d28d82e76836dc5fe37fa808c25799947f0d1bf66e851251db959fdad1b7ebe8,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/2026_07_30_s41928-021-00671-0 (1)/s41928-021-00671-0 (1).pdf
小组周四论文汇报(1).pptx,report_structure,论文汇报PPT章节结构,reference_only,背景材料；作者介绍和论文结果不能作为本项目贡献,2176356,1ef7ae4fdce9c578e705cc9642e13d62b904321f63abdbabe9a35688c7edaf03,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/小组周四论文汇报(1).pptx
小组：李延顺、韩佳辰、王道玺、王法楊、孙金良、赵原登.docx,report_structure,二极管参数调节报告示例,reference_only,实验对象与本项目无关，只参考分组比较方式；其同时改变量方案不作为控制变量范例,795692,f37025ef01365b7484bdd704572a4da80cdb9e83635fa2beb2efacf4e930477d,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/小组：李延顺、韩佳辰、王道玺、王法楊、孙金良、赵原登.docx
王道玺的实验数据1(4).xlsx,reference_dataset,两组反相器VTC参考数据,reference_only,两列工况含义和电路条件未写入表格，未澄清前不得用于定量验证,13723,a03ea5f35be99465675943aeb08439509f12341d574621df7b6fce542c0dcb74,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/王道玺的实验数据1(4).xlsx
研究方法以及结果(1).docx,report_structure,a-IGZO缺陷文献的研究方法摘要,reference_only,属于文献归纳，不是本项目DFT或实测结果,12733,2adf756c93c91d9cd42c3e8c0a4639ee151a01ae4e9b4e13c6f6d1e54e23eb7c,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/研究方法以及结果(1).docx
结果分析与讨论（排版后）.pptx,report_structure,双栅IGZO 2T0C DRAM结果分析PPT模板,reference_only,可参考章节与图注结构；图中数值属于被汇报论文，不属于本项目实测,1765363,48f66098b5155d3c3922950993c23d1e7ecf08064ea6788a9e0384916ccb4fa9,/mnt/c/Users/ReachGao/Desktop/deepseek_work/大学课程/氧化物/实验/学长/结果分析与讨论（排版后）.pptx
